population_density,income_stratum,fuel_expenditure_sol,edu_level_head,household_size_avg,pct_nse_ab,pct_nse_de,gpc_kg_per_capita_day,pct_recyclable,pct_plastic,informal_recyclers_count,road_density,dist_to_main_road_m,dist_to_market_m,dist_to_nearest_point_m,existing_points_500m,has_park_300m,slope_pct,urbanized_area_pct,recycling_potential_index,is_suitable,latitude,longitude
8540,5,65.0,5.5,2.8,71.0,4.0,0.74,31.2,12.4,14,0.035,150.0,400.0,505.20554601232806,0,1,0.0,95.0,1971.7152,1,-12.1328968,-77.0255751
8540,5,65.0,5.5,2.8,71.0,4.0,0.74,31.2,12.4,14,0.035,150.0,400.0,6857.733584795611,0,1,0.0,95.0,1971.7152,1,-12.176267,-76.9700756
8540,5,65.0,5.5,2.8,71.0,4.0,0.74,31.2,12.4,14,0.035,150.0,400.0,1915.5819937411954,0,1,0.0,95.0,1971.7152,1,-12.116842,-77.0457066
8540,5,65.0,5.5,2.8,71.0,4.0,0.74,31.2,12.4,14,0.035,150.0,400.0,505.20554601232806,0,1,0.0,95.0,1971.7152,1,-12.128359,-77.0251316
13200,4,55.0,5.1,3.1,56.0,8.0,0.68,28.4,11.1,8,0.035,150.0,400.0,118.10401713493432,1,1,0.0,95.0,2549.1839999999997,1,-12.0919459,-77.0735278
13200,4,55.0,5.1,3.1,56.0,8.0,0.68,28.4,11.1,8,0.035,150.0,400.0,118.10401713493432,1,1,0.0,95.0,2549.1839999999997,1,-12.0909253,-77.0731484
13200,4,55.0,5.1,3.1,56.0,8.0,0.68,28.4,11.1,8,0.035,150.0,400.0,282.8068115632057,1,1,0.0,95.0,2549.1839999999997,1,-12.1041493,-77.0604552
13200,4,55.0,5.1,3.1,56.0,8.0,0.68,28.4,11.1,8,0.035,150.0,400.0,97.33514395629301,2,1,0.0,95.0,2549.1839999999997,1,-12.0907576,-77.0671131
13200,4,55.0,5.1,3.1,56.0,8.0,0.68,28.4,11.1,8,0.035,150.0,400.0,97.33514395629301,3,1,0.0,95.0,2549.1839999999997,1,-12.0916342,-77.0670845
13200,4,55.0,5.1,3.1,56.0,8.0,0.68,28.4,11.1,8,0.035,150.0,400.0,197.291074814897,4,1,0.0,95.0,2549.1839999999997,1,-12.0928936,-77.0616674
13200,4,55.0,5.1,3.1,56.0,8.0,0.68,28.4,11.1,8,0.035,150.0,400.0,397.42892311081727,3,1,0.0,95.0,2549.1839999999997,1,-12.0893167,-77.0614666
13200,4,55.0,5.1,3.1,56.0,8.0,0.68,28.4,11.1,8,0.035,150.0,400.0,197.08775003735613,5,1,0.0,95.0,2549.1839999999997,1,-12.0920492,-77.0649069
13200,4,55.0,5.1,3.1,56.0,8.0,0.68,28.4,11.1,8,0.035,150.0,400.0,197.291074814897,3,1,0.0,95.0,2549.1839999999997,1,-12.0929362,-77.0594261
13200,4,55.0,5.1,3.1,56.0,8.0,0.68,28.4,11.1,8,0.035,150.0,400.0,282.8068115632057,1,1,0.0,95.0,2549.1839999999997,1,-12.1019248,-77.062022
